代號,名稱,年/月,平均售貨天數
2421,建準,2024/06,78.39
2423,固緯,2024/06,270.21
2424,隴華,2024/06,23.78
2425,承啟,2024/06,56.56
2426,鼎元,2024/06,125.02
2427,三商電,2024/06,268.5
2428,興勤,2024/06,119.04
2429,銘旺科,2024/06,42.41
2430,燦坤,2024/06,59.82
2431,聯昌,2024/06,84.44
2432,倚天酷碁-創,2024/06,20.09
2433,互盛電,2024/06,41.98
2434,統懋,2024/06,53.53
2436,偉詮電,2024/06,132.05
2438,翔耀,2024/06,66.52
2439,美律,2024/06,50.39
2440,太空梭,2024/06,21.32
2441,超豐,2024/06,29.06
2442,新美齊,2024/06,"7,384.81"
2444,兆勁,2024/06,147.31
2449,京元電子,2024/06,21.94
2450,神腦,2024/06,30.59
2451,創見,2024/06,290.44
2453,凌群,2024/06,45.66
2454,聯發科,2024/06,68.45
2455,全新,2024/06,95.89
2457,飛宏,2024/06,128.48
2458,義隆,2024/06,115.13
2459,敦吉,2024/06,50.01
2460,建通,2024/06,137.16
2461,光群雷,2024/06,107.06
2462,良得電,2024/06,83.33
2464,盟立,2024/06,62.9
2465,麗臺,2024/06,182.37
2466,冠西電,2024/06,294.65
2467,志聖,2024/06,92.24
2468,華經,2024/06,40.11
2471,資通,2024/06,0
2472,立隆電,2024/06,73.09
2474,可成,2024/06,60.86
2476,鉅祥,2024/06,72.32
2477,美隆電,2024/06,107.84
2478,大毅,2024/06,183.38
2480,敦陽科,2024/06,163.21
2481,強茂,2024/06,116.96
2482,連宇,2024/06,524.81
2483,百容,2024/06,85.86
2484,希華,2024/06,206.33
2485,兆赫,2024/06,158.98
2486,一詮,2024/06,99.61
2488,漢平,2024/06,100.91
2489,瑞軒,2024/06,58.02
2491,吉祥全,2024/06,912.96
2492,華新科,2024/06,94.42
2493,揚博,2024/06,159.18
2495,普安,2024/06,308.24
2496,卓越,2024/06,3.83
2497,怡利電,2024/06,122.56
2498,宏達電,2024/06,265.2
2501,國建,2024/06,974.21
2504,國產,2024/06,14.54
2505,國揚,2024/06,"9,385.73"
2506,太設,2024/06,"1,331.1"
2509,全坤建,2024/06,"1,838.89"
2511,太子,2024/06,408.51
2514,龍邦,2024/06,88.45
2515,中工,2024/06,512.5
2516,新建,2024/06,7.73
2520,冠德,2024/06,439.18
2524,京城,2024/06,"5,607.64"
2527,宏璟,2024/06,"4,783.23"
2528,皇普,2024/06,"27,411,858.06"
2530,華建,2024/06,"2,697.63"
2534,宏盛,2024/06,"8,663.08"
2535,達欣工,2024/06,221.76
2536,宏普,2024/06,"15,748.75"
2537,聯上發,2024/06,"2,551.67"
2538,基泰,2024/06,"5,139.14"
2539,櫻花建,2024/06,"5,127.96"
2540,愛山林,2024/06,"1,703.84"
2542,興富發,2024/06,"3,027.57"
2543,皇昌,2024/06,0.23
2545,皇翔,2024/06,"1,752.97"
2546,根基,2024/06,0
2547,日勝生,2024/06,807.94
2548,華固,2024/06,"5,949.67"
2596,綠意,2024/06,"3,519.93"
2597,潤弘,2024/06,14.14
2599,樂揚,2024/06,"60,093.71"
2601,益航,2024/06,362.57
2603,長榮,2024/06,0.88
2605,新興,2024/06,0
2606,裕民,2024/06,0
2607,榮運,2024/06,0
2608,嘉里大榮,2024/06,2.61
2609,陽明,2024/06,0
2610,華航,2024/06,0
2611,志信,2024/06,202.95
2612,中航,2024/06,6.04
2613,中櫃,2024/06,24.71
2614,東森,2024/06,40.31
2615,萬海,2024/06,0
2616,山隆,2024/06,7.08
2617,台航,2024/06,0
2618,長榮航,2024/06,0
2630,亞航,2024/06,82.6
2633,台灣高鐵,2024/06,35.72
2634,漢翔,2024/06,166.59
2636,台驊投控,2024/06,0
2637,慧洋-KY,2024/06,1.46
2640,大車隊,2024/06,6.28
2641,正德,2024/06,342.95
2642,宅配通,2024/06,1.16
2643,捷迅,2024/06,0
2644,中信造船,2024/06,55.5
2645,長榮航太,2024/06,70.18
2646,星宇航空,2024/06,0
2701,萬企,2024/06,0
2702,華園,2024/06,1.34
2704,國賓,2024/06,204.37
2705,六福,2024/06,12.96
2706,第一店,2024/06,0
2707,晶華,2024/06,2.06
2712,遠雄來,2024/06,3.91
2718,晶悅,2024/06,"2,631.93"
2719,燦星旅,2024/06,0
2722,夏都,2024/06,9.94
2727,王品,2024/06,47.76
2729,瓦城,2024/06,27.8
2731,雄獅,2024/06,0
2732,六角,2024/06,42.49
2733,維格餅家,2024/06,56.34
2734,易飛網,2024/06,14.37
2736,富野,2024/06,5.75
2739,寒舍,2024/06,9.71
2740,天蔥,2024/06,22.82
2741,老四川,2024/06,32.72
2743,山富,2024/06,0
2745,五福,2024/06,0
2748,雲品,2024/06,115.49
2750,桃禧,2024/06,3.85
2751,王座,2024/06,22.36
2752,豆府,2024/06,8.97
2753,八方雲集,2024/06,17.98
2754,亞洲藏壽司,2024/06,3.85
2755,揚秦,2024/06,12.52
2756,聯發國際,2024/06,53.01
2758,路易莎咖啡,2024/06,14.73
2760,巨宇翔,2024/06,4.03
2761,橘焱胡同,2024/06,16.17
2801,彰銀,2024/06,
2809,京城銀,2024/06,
2812,台中銀,2024/06,
2823,凱基人壽,2024/06,
2834,臺企銀,2024/06,
2837,凱基銀行,2024/06,
2848,華南保,2024/06,
2851,中再保,2024/06,
2856,元富證,2024/06,
2867,三商壽,2024/06,
2882,國泰金,2024/06,
2884,玉山金,2024/06,
2885,元大金,2024/06,
2890,永豐金,2024/06,
2891,中信金,2024/06,
2901,欣欣,2024/06,71.24
2903,遠百,2024/06,52.8
2904,匯僑,2024/06,0
2905,三商,2024/06,10.83
2906,高林,2024/06,87.69
2908,特力,2024/06,77.39
2910,統領,2024/06,272.43
2911,麗嬰房,2024/06,196.06
2912,統一超,2024/06,36.87
2913,農林,2024/06,"1,468.88"
2915,潤泰全,2024/06,101.95
2916,滿心,2024/06,278.36
2920,海景,2024/06,0.67
2923,鼎固-KY,2024/06,"4,010.75"
2926,誠品生活,2024/06,116.12
2937,集雅社,2024/06,114.35
2938,床的世界,2024/06,144.88
2941,米斯特,2024/06,120.99
2942,京站,2024/06,11.24
2945,三商家購,2024/06,59.8
2947,振宇五金,2024/06,155.29
2948,寶陞,2024/06,333.5
2949,欣新網,2024/06,51.61
3002,歐格,2024/06,178.51
3003,健和興,2024/06,185.73
3004,豐達科,2024/06,207.45
3005,神基,2024/06,94.22
3006,晶豪科,2024/06,202.03
3008,大立光,2024/06,80.02
3010,華立,2024/06,24.28
3011,今皓,2024/06,87.63
3013,晟銘電,2024/06,49.3
3014,聯陽,2024/06,96.85
3015,全漢,2024/06,89.65
3016,嘉晶,2024/06,87.22
3017,奇鋐,2024/06,141.52
3018,隆銘綠能,2024/06,0
3019,亞光,2024/06,65.52
3021,鴻名,2024/06,77.47
3022,威強電,2024/06,110.17
3023,信邦,2024/06,135
3024,憶聲,2024/06,530.51
3025,星通,2024/06,852.32
3026,禾伸堂,2024/06,102.87
3027,盛達,2024/06,78.22
3028,增你強,2024/06,96.09
3029,零壹,2024/06,30.5
3030,德律,2024/06,182.14
3031,佰鴻,2024/06,71.1
3032,偉訓,2024/06,81.46
3033,威健,2024/06,91.98
3034,聯詠,2024/06,55.9
3035,智原,2024/06,69.31
3036,文曄,2024/06,50.08
3037,欣興,2024/06,47.53
3038,全台,2024/06,95.77
3040,遠見,2024/06,159.92
3041,揚智,2024/06,111.49
3042,晶技,2024/06,134.22
3043,科風,2024/06,212.29
3044,健鼎,2024/06,61.01
3045,台灣大,2024/06,17.6
3046,建碁,2024/06,6.33
3047,訊舟,2024/06,141.1
3048,益登,2024/06,47.52
3049,精金,2024/06,23.85
3050,鈺德,2024/06,27.3
3051,力特,2024/06,235.68
3052,夆典,2024/06,757.73
3054,立萬利,2024/06,208.19
3055,蔚華科,2024/06,47.1
3056,富華新,2024/06,"35,606.89"
3057,喬鼎,2024/06,396.67
3058,立德,2024/06,103.15
3059,華晶科,2024/06,130.98
3060,銘異,2024/06,98.94
3062,建漢,2024/06,115.83
3064,泰偉,2024/06,82.35
3066,李洲,2024/06,62.1
3067,全域,2024/06,66.31
3071,協禧,2024/06,64.42
3073,天方能源,2024/06,271.82
3078,僑威,2024/06,87.3
3081,聯亞,2024/06,109.98
3083,網龍,2024/06,0
3085,新零售,2024/06,39.21
3086,華義,2024/06,0.69
3088,艾訊,2024/06,164.7
3090,日電貿,2024/06,72.11
